काकडभिट्टा,kakarvitta,
मलुंगिा,malungi,
िैरहिा,,
िद्रपुर,,
गाईघाट,gaighat,
िगिानपुर,,
ठााँडी,thaadi,
बिताामोड,birtamod,
िद्रपरु,,
बिराटनगर,biratnagar,
पोखरा,pokhara,
नारायणगढ,narayangarh,
धरान,dharan,
जलेश्िर,jaleshwor,
जनकपुर,janakpur,
गौरीगञ्ज,gauriganj,
गौर,gaur,
कृष्णनगर,krishnanagar,
कुनौली हुुंदै राजविराज,kunauli,
कटारी,katahari,
इटहरी,itahari,
कलैया,kalaiya,
तानसेन,tansen,
पाल्पा,palpa,
इलाम,ilam,
सुन्माई,sunmai,
काठमाडौं,kathmandu,
धुन्िे,dhunche,
धाददङिेसी,dhadingbesi,
धनगढी,dhangadhi,
भसतागढी,bhastagadhi,
साुंफेिगर,sufinagar,
दे िीघाट बिशुली,devghat,
बिशुली,bisauli,
तातोपानी,tatopani,
डुम्रे,dumre,
िेभशशहर,,
जजरी,jajari,
जुंघारखोला,jugharkhola,
िौतारा,chautara,
चिसापानी कणााली,chisopani,
गौशाला,gaushala,
महोत्तरी,mahottari,
गौरीगुंज,gaurigunj,
गोलढाप (झापा),goldhap,
गोरखा,gorkha,
गुलररया,gulariya,
गल्छी,galchi,
खोपासी,khopasi,
कोठीयाघाट,khothiyat,
कुररनटार (मनकामना केिुलकारसम्म),kurnitar,
कुमारखोज (झापा),kumarkhoj,
उलाािारी,ullari,
दगुाापुरी,dagupuri,
अत्तररया,attariya,
भसलगढी,bhasalgadhi,
भसराहा,bhasraha,
िुटिल,,
विरगञ्ज,birgunj,
राजविराज,rajbiraj,
हनमुाननगर,hanumannagar,
िररयारपट्टी,,
िरहथिा,,
लेटाङ,letang,
मोरङ,morang,
रुपनी,rupani,
रामपुर (चितिन),rampur,
हनुमाननगर,hanumannagar,
राजगढ,rajgadh,
रघुनाथपुर,raghunathpur,
धनुषा,dhanusha,
मेलन्िी,,
महे शपुर,maheshpur,
महे न्द्रनगर,mahendranagar,
मधुमल्ला,madhumalla,
मटीहानी,matihaani,
लजु म्िनी हुुंदै तौभलहिा,laju,
िालुिाङ,,
प्युठान,pyuthan,
िगिानपरु,,
बिराटनगर हुदै ,biratnagar,
कटहरी,katahari,
िाह्रविसे,baarabise,
िाहुनडााँगी,,
िननयानी,,
फत्तेपुर,fattepur,
िाभलङ हुुंदै िैरहिा,,
िाभलुंग,,
कवपलिस्त,kapilbastu,
ु नारायणगढ एकतफी,narayangarh,
पलाञ्िोक िगिती,palanchowk,
पनौती,panauti,
नेपालगञ्ज,nepalgunj,
हे टौडा,hetauda,
नगराइन,nagarain,
जटदह,jatdaha,
धोराही,ghorahi,
तुलसीपुर,tulsipur,
धुभलखेल,dhubalkhel,
धलु ािारी,dhaulagiri,
शाजन्तनगर,sajantnagar,
धनगढी (िुरीगाउुं हुदै ),dhangadhi,
गल्याङ,galyang,
िीरगुंज,,
गड्डािौकी,gaddachowki,
िैतडी,baitadi,
खोडपे,khodpe,
भसमखेत,bhasamkhet,
खााँडीिौर अिरीकोट,,
िाग्लुङ,baglung,
कािासोती िजार,kisauti bajar,
िण्डारा,,
काठमाण्डौ,kathmandu,
हाथोक (पाल्पा),hathok,
सल्यान,salyan,
सन्धीखका,sandhikharka,
िसन्तपुर,basantapur,
िल्ख,,
ु दक्षिणकाली,dakshinkali,
धनकुटा,dhankuta,
दे िस्थल,,
सल्लीिजार,sallijaar,
तुल्सीपुर,tulsipur,
खलुंगा (रूकुम),khalunga,
तम्घास,tamghar,
टोखा,tokha,
सातिीसे,saatishe,
कलकी पेट्रोलपम्प (रातमाटे नागढुङगा दहिोक),kalanki,
काठमाण्डौं,kathmandu,
रोल्पा,rolpa,
भलिाङ,bholang,
पुरानो िसपाकादे खख िोिार दक्षिणकालीसम्म,,
अत्तरीया,atariya,
डडेलधुरा,dadeldhura,
काठमाडौ,kathmandu,
स्याङजा,syangja,
सखुेत,surkhet,
भसुंन्धुली,bhasunkhuli,
भशिगञ्ज,bhasigunj,
शननश्िरे,,
िुधिारे,,
विताािजार,bitijaar,
विरगुंज,birgunj,
िागलङ,,
टीकापुर,tikapur,
झपटतल,jhapattal,
खझनाघाट,khajhnaghat,
विराटिोक,biritok,
माडर,maadar,
औरही,aurahi,
िदीिास,,
हे टौंडा,hetauda,
सुखखपुर,sukhapur,
जनकपरु ,janakpur,
विजलपरु ा (महोत्तरी),bijalpur,
िरहथिा (मानपुर),,
ियलिास,,
पातो,paato,
धनुषाधाम,dhushadhaam,
धारापानी,dharapani,
गोदार,godaar,
गाइघाट,gaighat,
कान्तीिजार,kantijaar,
जटही,jatahi,
भिट्टामोड,bhittamod,
नछन्िु,,
िोटे िौर,,
चिसापानी,chisapani,
िुनेपानी,,
डडेल्धुरा,dadeldhura,
िुरीगाउुं,,
ु ररया,,
गीतानगर,gitanagar,
िााँसिारी,,
डााँगीस्कूल,daagischool,
पकली,pakali,
िकलौरी,,
डााँछीखोला,daachikhola,
बिहीिारे,,
कानेपोखरी,kaanepokhari,
रुं गेली,,
इटहरा,itahari,
सख्ुखड,,
िजनी,,
साफेिगर,saafebagar,
डडेलधरु ा,dadeldhura,
दटकापुर,datkapur,
जनकपूर,janakpur,
िैनपुर (िझाङ),,
िनुेपानी,,
दे िीघाट,,
दाङतुल्सीपुर,dang,
स्याङ्जा,syangja,
दाङ,dang,
तल्ुसीपरु ,tulsipur,
िागलङु,,
मुगभलन हुदै पोखरा,mugbhalan,
दे उराली,deurali,
िोकदे,,
खरानीटार,kharanitar,
आप्राह,apraha,
तौभलहिा,taulihawa,
भसदाथानगर,bhasdatanagar,
िेलहीया,,
िेभसशहर,,
डााँछी िद्रिास,,
सााँख,saakh,
ु नगरकोट िसस्टप,,
२८६,,
किनापरु,kinaparu,
अभमभलया,abhambhalya,
नेपालगुंज,nepalgunj,
िाभलङ्ग,,
कािासोतीिजार,kisatijar,
नाउडााँडा,naudada,
काकडडिट्टा,kakarvitta,
धभु लखेल,,
भसन्धुली,,
काठमाडौंमुगभलङहुुंदैगाईघाट,,
शननश्िरे ,,
पथरी,pathari,
२३,,
दहुिी,,
दे िानगञ्ज,,
डाुंगीहाट,,
िाहुनी,,
केरोनियरिन,,
इजन्जननयररङ कलेज,,
इनरुिा,,
५०,,
फफददम,,
ताप्लेजुङ,taplejung,
लम्ुिीनी,lumbini,
नेपालगञ्जहुुंदैकोठीयाघाट,,
िाभलङहुुंदैदाङतुल्सीपुर,,
िाग्लङु,,
िैरहिा सुनौलीसम्म,,
नारायणगढहुुंदै,,
पथरकोट,,
सजन्धखका,,
मलगुंिा,,
िीरगञ्ज,,
नारायणढ,,
मगुभलङ हुदै पोखरा,,
टीकापुर हुुंदै राजापुरसम्म,,
जनकपरु,,
घोराही,,
िुरीगाुंउ,,
कोदठयाघाट,,
इनरुिाहुुंदैमधुिन,,
डाुंगीहाटिाहुनी,,
गोलढाप,,
केरािारी,,
कानेपोखरी लेटाङ हुुंदै जाुंते,,
लक्ष्मीमागा,,
होक्लीिारी,,
इटहरीिााँसिारी,,
बिदहिारे,,
िागलुङ,,
िददा िास,,
खुकोट,,
रामेछाप,,
मन्थली,,
िररकोट,,
िनेपा,,
मुजग्लङ हुुंदै राजविराज,,
भसरहामाडर,,
भशिगुंज,,
मुजग्लङहुुंदैधरान,,
मुजग्लङ हुुंदै जलेश्िर,,
जलेश्िर हुुंदै जटही,,
३१०,,
सुरुङ्गा,,
मदरगाछी,madargaachi,
झापािजार,jhapijar,
केिना,kina,
ताप्लेजङु,taplejung,
घेरािारी,,
शननश्िरे (पथरी),,
२८,,
िक्तपुर,,
िननयानी (झापा),,
िक्तपरु ,,
सजल्लिजार,,
िेभलया,,
परासी,,
िेनी,,
सुखेत,surkhet,
सुनिल,,
िदा घाट,,
बििेणी,,
िटुिल,,
सुनौली,sunauli,
हारथोक,harthok,
तल्सीपुर,tulsipur,
जजतपुर,jajatpur,
